model,stage,instance_id,final_source,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count,final_path
gpt-5.4-mini,stage3,chain_14_e09_python_simplehttpserver_network_chain_stage3,adjudicated,3,6,1,2,0,1,1,2,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_14_e09_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_15_e10_python_simplehttpserver_network_chain_stage3,two_review_match,5,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_15_e10_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_16_e11_python_simplehttpserver_network_chain_stage3,adjudicated,6,6,2,2,1,1,1,1,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_16_e11_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_17_e12_python_simplehttpserver_network_chain_stage3,adjudicated,6,6,2,2,1,1,1,1,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_17_e12_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_18_e13_dns_packet_capture_batch_chain_stage3,adjudicated,6,6,2,2,1,1,1,7,6,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_18_e13_dns_packet_capture_batch_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_19_e13_python_simplehttpserver_network_chain_stage3,two_review_match,6,6,2,2,1,1,1,1,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_19_e13_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_20_e14_dns_packet_capture_batch_chain_stage3,two_review_match,0,0,0,0,0,0,0,5,5,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_20_e14_dns_packet_capture_batch_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_21_e15_python_simplehttpserver_network_chain_stage3,two_review_match,6,6,2,2,1,1,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_21_e15_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_22_e16_python_simplehttpserver_network_chain_stage3,adjudicated,6,6,2,2,1,1,1,1,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_22_e16_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_23_e17_python_simplehttpserver_network_chain_stage3,two_review_match,6,6,2,2,1,1,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_23_e17_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_24_e18_cmdexe_other_chain_stage3,adjudicated,7,9,2,3,1,2,2,5,3,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_24_e18_cmdexe_other_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_25_e18_dns_packet_capture_batch_chain_stage3,adjudicated,9,9,3,3,2,2,2,5,3,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_25_e18_dns_packet_capture_batch_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_26_e18_python_simplehttpserver_network_chain_stage3,adjudicated,4,6,1,2,0,1,1,3,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_26_e18_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_27_e19_dns_packet_capture_batch_chain_stage3,two_review_match,0,0,0,0,0,0,0,4,4,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_27_e19_dns_packet_capture_batch_chain_stage3\codex_score_result.json
