chain_id,chain_title,model,run_count,visible_qa_question_count,qa_quality_flags,qa_categories,final_evidence_sources,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,overclaim_per_run,investigator_sql_note
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; parent_child_relation:3; row_identifier:2,network_service_or_http_server:3; script_execution_chain:3; shell_or_batch_execution:2; registry_persistence:1,cbc-ngav:44; cbc-edr:26; cbc-ngav-alerts:10; sysmon:6; cbc-edr-alerts:3; msft-security:1,1.000,1.000,1.000,0.724,3.33,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。ただしraw救済であり構造化出力条件とは分ける。
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,gpt-4.1-mini,9,0,,,audit_logs:33; sysmon:4; msft-security:1,0.543,0.222,0.167,0.440,8.33,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,gpt-5.4-mini,9,0,,,cbc-edr:81; sysmon:14; cbc-edr-alerts:7; cbc-ngav:1,0.741,0.778,0.556,0.401,7.56,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。主要証跡には届くが、余計な候補または順序の弱さが残る。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3,dns_capture_or_collection:3; shell_or_batch_execution:3; network_service_or_http_server:1; script_execution_chain:1,cbc-edr:76; cbc-ngav:26; sysmon:12; cbc-edr-alerts:11; cbc-ngav-alerts:3; msft-security:2,1.000,1.000,1.000,0.473,12.33,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。主要証跡には届くが、余計な候補または順序の弱さが残る。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-4.1-mini,9,0,,,audit_logs:19; sysmon:7; cbc-edr-alerts:3,0.593,0.259,0.333,0.521,5.00,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-5.4-mini,9,0,,,cbc-edr:80; msft-security:10; cbc-edr-alerts:9; cbc-ngav:6; sysmon:2,0.827,0.778,0.722,0.380,7.56,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。主要証跡には届くが、余計な候補または順序の弱さが残る。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; parent_child_relation:3; row_identifier:2,dns_capture_or_collection:3; shell_or_batch_execution:3; network_service_or_http_server:2; script_execution_chain:2,cbc-edr:57; cbc-ngav:25; cbc-edr-alerts:13; sysmon:2; cbc-ngav-alerts:2,1.000,1.000,1.000,0.680,5.67,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:19; cbc-edr:8; msft-security:4; cbc-ngav:3; sysmon:3,0.500,0.222,0.000,0.327,7.78,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-edr:57; cbc-ngav:19; msft-security:8,0.852,0.667,0.667,0.581,3.44,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。主要証跡には届くが、余計な候補または順序の弱さが残る。
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3; alert_summary_reference:1,network_service_or_http_server:3; script_execution_chain:3; shell_or_batch_execution:3; registry_persistence:1; dns_capture_or_collection:1,cbc-edr:62; cbc-ngav:32; sysmon:19; cbc-ngav-alerts:7; msft-security:5; cbc-edr-alerts:1,1.000,1.000,1.000,0.648,4.67,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
