model,stage,instance_id,chain_id,chain_type,scenario_group,scenario_group_ja,excluded_non_alert_gold,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,source_path
gpt-4.1-mini,stage2,chain_25_e18_dns_packet_capture_batch_chain_stage2,chain_25_e18_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,7,9,0,3,0,2,6,20,14,0.7777777777777778,0.0,0.0,0.3,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_25_stage2_codex_adjudicated_score.json
gpt-4.1-mini,stage3,chain_25_e18_dns_packet_capture_batch_chain_stage3,chain_25_e18_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,5,9,0,3,0,2,5,8,3,0.5555555555555556,0.0,0.0,0.625,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_25_stage3_codex_adjudicated_score.json
gpt-4.1-mini,stage1,chain_26_e18_python_simplehttpserver_network_chain_stage1,chain_26_e18_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,0,2,0,1,3,8,5,0.5,0.0,0.0,0.375,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_26_stage1_codex_adjudicated_score.json
gpt-4.1-mini,stage2,chain_26_e18_python_simplehttpserver_network_chain_stage2,chain_26_e18_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,2,6,0,2,0,1,2,16,14,0.3333333333333333,0.0,0.0,0.125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_26_stage2_codex_adjudicated_score.json
gpt-4.1-mini,stage3,chain_26_e18_python_simplehttpserver_network_chain_stage3,chain_26_e18_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,4,6,0,2,0,1,4,12,8,0.6666666666666666,0.0,0.0,0.3333333333333333,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_26_stage3_codex_adjudicated_score.json
gpt-5.4-mini,stage1,chain_01_e01_dns_packet_capture_batch_chain_stage1,chain_01_e01_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,9,9,3,3,2,2,2,3,1,1.0,1.0,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_01_e01_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,chain_02_e01_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,4,2,1.0,1.0,1.0,0.5,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_02_e01_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_04_e03_dns_packet_capture_batch_chain_stage1,chain_04_e03_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,6,6,2,2,1,1,1,2,1,1.0,1.0,1.0,0.5,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_04_e03_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_05_e03_python_simplehttpserver_network_chain_stage1,chain_05_e03_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,3,1,1.0,1.0,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_05_e03_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_06_e04_python_simplehttpserver_network_chain_stage1,chain_06_e04_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,4,6,1,2,1,1,2,3,1,0.6666666666666666,0.5,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_06_e04_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_07_e05_sublime_python_script_execution_chain_stage1,chain_07_e05_sublime_python_script_execution_chain,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,False,29,30,9,10,7,9,4,4,0,0.9666666666666667,0.9,0.7777777777777778,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_07_e05_sublime_python_script_execution_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_09_e07_cmdexe_other_chain_stage1,chain_09_e07_cmdexe_other_chain,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,1,2,1,1.0,1.0,1.0,0.5,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_09_e07_cmdexe_other_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_10_e07_discord_run_key_registry_chain_stage1,chain_10_e07_discord_run_key_registry_chain,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,False,9,9,3,3,2,2,2,2,0,1.0,1.0,1.0,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_10_e07_discord_run_key_registry_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_11_e07_sublime_python_script_execution_chain_stage1,chain_11_e07_sublime_python_script_execution_chain,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,False,15,18,5,6,4,5,3,4,1,0.8333333333333334,0.8333333333333334,0.8,0.75,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_11_e07_sublime_python_script_execution_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_12_e08_python_simplehttpserver_network_chain_stage1,chain_12_e08_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,6,4,1.0,1.0,1.0,0.3333333333333333,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_12_e08_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_13_e09_dns_packet_capture_batch_chain_stage1,chain_13_e09_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,9,15,3,5,2,4,3,4,1,0.6,0.6,0.5,0.75,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_13_e09_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_14_e09_python_simplehttpserver_network_chain_stage1,chain_14_e09_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,3,5,2,1.0,1.0,1.0,0.6,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_14_e09_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_15_e10_python_simplehttpserver_network_chain_stage1,chain_15_e10_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,4,6,1,2,0,1,1,3,2,0.6666666666666666,0.5,0.0,0.3333333333333333,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_15_e10_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_16_e11_python_simplehttpserver_network_chain_stage1,chain_16_e11_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,0,6,0,2,0,1,0,0,0,0.0,0.0,0.0,,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_16_e11_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_17_e12_python_simplehttpserver_network_chain_stage1,chain_17_e12_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,0,2,0,1,1,1,0,0.5,0.0,0.0,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_17_e12_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_18_e13_dns_packet_capture_batch_chain_stage1,chain_18_e13_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,6,6,2,2,1,1,1,4,3,1.0,1.0,1.0,0.25,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_18_e13_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_19_e13_python_simplehttpserver_network_chain_stage1,chain_19_e13_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,3,4,1,1.0,1.0,1.0,0.75,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_19_e13_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_21_e15_python_simplehttpserver_network_chain_stage1,chain_21_e15_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,3,1,1.0,1.0,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_21_e15_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_22_e16_python_simplehttpserver_network_chain_stage1,chain_22_e16_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,2,0,1.0,1.0,1.0,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_22_e16_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_23_e17_python_simplehttpserver_network_chain_stage1,chain_23_e17_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,2,0,1.0,1.0,1.0,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_23_e17_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_24_e18_cmdexe_other_chain_stage1,chain_24_e18_cmdexe_other_chain,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,False,7,9,2,3,1,2,1,3,2,0.7777777777777778,0.6666666666666666,0.5,0.3333333333333333,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_24_e18_cmdexe_other_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_25_e18_dns_packet_capture_batch_chain_stage1,chain_25_e18_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,9,9,3,3,2,2,2,3,1,1.0,1.0,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_25_e18_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_26_e18_python_simplehttpserver_network_chain_stage1,chain_26_e18_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,3,1,1.0,1.0,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_26_e18_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage2,chain_01_e01_dns_packet_capture_batch_chain_stage2,chain_01_e01_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,4,9,0,3,0,2,1,2,1,0.4444444444444444,0.0,0.0,0.5,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_01_e01_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_02_e01_python_simplehttpserver_network_chain_stage2,chain_02_e01_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,4,2,1.0,1.0,1.0,0.5,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_02_e01_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_04_e03_dns_packet_capture_batch_chain_stage2,chain_04_e03_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,6,6,2,2,0,1,1,4,3,1.0,1.0,0.0,0.25,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_04_e03_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_05_e03_python_simplehttpserver_network_chain_stage2,chain_05_e03_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,3,1,1.0,1.0,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_05_e03_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_06_e04_python_simplehttpserver_network_chain_stage2,chain_06_e04_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,3,1,1.0,1.0,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_06_e04_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_07_e05_sublime_python_script_execution_chain_stage2,chain_07_e05_sublime_python_script_execution_chain,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,False,17,30,5,10,2,9,2,2,0,0.5666666666666667,0.5,0.2222222222222222,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_07_e05_sublime_python_script_execution_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_09_e07_cmdexe_other_chain_stage2,chain_09_e07_cmdexe_other_chain,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,1,5,4,1.0,1.0,1.0,0.2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_09_e07_cmdexe_other_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_10_e07_discord_run_key_registry_chain_stage2,chain_10_e07_discord_run_key_registry_chain,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,False,3,9,0,3,0,2,0,1,1,0.3333333333333333,0.0,0.0,0.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_10_e07_discord_run_key_registry_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_11_e07_sublime_python_script_execution_chain_stage2,chain_11_e07_sublime_python_script_execution_chain,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,False,15,18,5,6,3,5,2,4,2,0.8333333333333334,0.8333333333333334,0.6,0.5,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_11_e07_sublime_python_script_execution_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_12_e08_python_simplehttpserver_network_chain_stage2,chain_12_e08_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,3,1,1.0,1.0,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_12_e08_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_13_e09_dns_packet_capture_batch_chain_stage2,chain_13_e09_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,7,15,2,5,1,4,2,2,0,0.4666666666666667,0.4,0.25,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_13_e09_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_14_e09_python_simplehttpserver_network_chain_stage2,chain_14_e09_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,0,6,0,2,0,1,0,0,0,0.0,0.0,0.0,,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_14_e09_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_15_e10_python_simplehttpserver_network_chain_stage2,chain_15_e10_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,3,1,1.0,1.0,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_15_e10_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_16_e11_python_simplehttpserver_network_chain_stage2,chain_16_e11_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,3,1,1.0,1.0,1.0,0.6666666666666666,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_16_e11_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_17_e12_python_simplehttpserver_network_chain_stage2,chain_17_e12_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,2,0,1.0,1.0,1.0,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_17_e12_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_18_e13_dns_packet_capture_batch_chain_stage2,chain_18_e13_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,6,6,2,2,0,1,1,3,2,1.0,1.0,0.0,0.3333333333333333,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_18_e13_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_19_e13_python_simplehttpserver_network_chain_stage2,chain_19_e13_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,1,1,0,1.0,1.0,1.0,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_19_e13_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_21_e15_python_simplehttpserver_network_chain_stage2,chain_21_e15_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,2,0,1.0,1.0,1.0,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_21_e15_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_22_e16_python_simplehttpserver_network_chain_stage2,chain_22_e16_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,2,0,1.0,1.0,1.0,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_22_e16_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_23_e17_python_simplehttpserver_network_chain_stage2,chain_23_e17_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,2,2,1,1,2,2,0,1.0,1.0,1.0,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_23_e17_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_24_e18_cmdexe_other_chain_stage2,chain_24_e18_cmdexe_other_chain,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,False,9,9,3,3,1,2,2,9,7,1.0,1.0,0.5,0.2222222222222222,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_24_e18_cmdexe_other_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_25_e18_dns_packet_capture_batch_chain_stage2,chain_25_e18_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,9,9,3,3,1,2,2,6,4,1.0,1.0,0.5,0.3333333333333333,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_25_e18_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_26_e18_python_simplehttpserver_network_chain_stage2,chain_26_e18_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,1,2,0,1,1,1,0,0.5,0.5,0.0,1.0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_26_e18_python_simplehttpserver_network_chain_stage2\codex_score_result.json
